months_as_customer,age,policy_csl,policy_deductible,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_relationship,incident_type,collision_type,incident_severity,authorities_contacted,incident_hour_of_the_day,number_of_vehicles_involved,witnesses,total_claim_amount,injury_claim,property_claim,vehicle_claim,fraud_reported
328,48,250/500,1000,1406.91,0,MALE,Graduate,partner,Single Vehicle Collision,Side Collision,Major Damage,Police,5,1,2,71610,6510,13020,52080,Y
228,42,250/500,2000,1197.22,5000000,MALE,Graduate,other-relative,Vehicle Theft,No Collision,Minor Damage,Police,8,1,0,5070,780,780,3510,Y
134,29,100/300,2000,1413.14,5000000,FEMALE,Doctorate,own-child,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,7,3,3,34650,7700,3850,23100,N
256,41,250/500,2000,1415.74,6000000,FEMALE,Doctorate,partner,Single Vehicle Collision,Front Collision,Major Damage,Police,5,1,2,63400,6340,6340,50720,Y
228,44,500/1000,1000,1583.91,6000000,MALE,Undergraduate,partner,Vehicle Theft,No Collision,Minor Damage,None,20,1,1,6500,1300,650,4550,N
256,39,250/500,1000,1351.1,0,FEMALE,Doctorate,partner,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,19,3,2,64100,6410,6410,51280,Y
137,34,250/500,1000,1333.35,0,MALE,Doctorate,partner,Multi-vehicle Collision,Front Collision,Minor Damage,Police,0,3,0,78650,21450,7150,50050,N
165,37,100/300,1000,1137.03,0,MALE,Undergraduate,partner,Multi-vehicle Collision,Front Collision,Total Loss,Police,23,3,2,51590,9380,9380,32830,N
27,33,100/300,500,1442.99,0,FEMALE,Doctorate,own-child,Single Vehicle Collision,Front Collision,Total Loss,Police,21,1,1,27700,2770,2770,22160,N
212,42,100/300,500,1315.68,0,MALE,Doctorate,partner,Single Vehicle Collision,Rear Collision,Total Loss,Police,14,1,1,42300,4700,4700,32900,N
235,42,100/300,500,1253.12,4000000,FEMALE,Graduate,other-relative,Single Vehicle Collision,Front Collision,Total Loss,Police,22,1,2,87010,7910,15820,63280,N
447,61,100/300,2000,1137.16,0,FEMALE,High School,other-relative,Multi-vehicle Collision,Front Collision,Major Damage,Fire,21,3,2,114920,17680,17680,79560,N
60,23,500/1000,500,1215.36,3000000,MALE,Graduate,partner,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,9,1,0,56520,4710,9420,42390,N
121,34,100/300,1000,936.61,0,FEMALE,Graduate,partner,Parked Car,No Collision,Minor Damage,None,5,1,1,7280,1120,1120,5040,N
180,38,250/500,2000,1301.13,0,FEMALE,Undergraduate,not-in-family,Single Vehicle Collision,Rear Collision,Total Loss,Police,12,1,2,46200,4200,8400,33600,Y
473,58,100/300,2000,1131.4,0,FEMALE,Graduate,other-relative,Multi-vehicle Collision,Side Collision,Major Damage,Police,12,4,0,63120,10520,10520,42080,Y
70,26,500/1000,1000,1199.44,5000000,MALE,Undergraduate,own-child,Multi-vehicle Collision,Rear Collision,Major Damage,Police,0,3,2,52110,5790,5790,40530,N
140,31,500/1000,500,708.64,6000000,MALE,High School,partner,Single Vehicle Collision,Side Collision,Total Loss,Police,9,1,2,77880,14160,7080,56640,N
160,37,500/1000,500,1374.22,0,FEMALE,Graduate,other-relative,Single Vehicle Collision,Side Collision,Total Loss,Police,19,1,0,72930,6630,13260,53040,N
196,39,500/1000,2000,1475.73,0,FEMALE,High School,own-child,Multi-vehicle Collision,Side Collision,Major Damage,Police,8,3,0,60400,6040,6040,48320,N
460,62,250/500,1000,1187.96,4000000,MALE,Graduate,own-child,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,20,3,0,47160,0,5240,41920,N
217,41,500/1000,2000,875.15,0,FEMALE,Undergraduate,own-child,Multi-vehicle Collision,Side Collision,Total Loss,Police,15,3,2,37840,0,4730,33110,N
370,55,100/300,2000,972.18,0,MALE,High School,other-relative,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,20,3,0,71520,17880,5960,47680,Y
413,55,100/300,2000,1268.79,0,MALE,Graduate,own-child,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,15,1,2,98160,8180,16360,73620,Y
237,40,100/300,1000,883.31,0,MALE,Undergraduate,partner,Single Vehicle Collision,Rear Collision,Minor Damage,Police,6,1,3,77880,7080,14160,56640,N
8,35,100/300,2000,1266.92,0,MALE,Graduate,own-child,Multi-vehicle Collision,Rear Collision,Major Damage,Police,16,3,3,71500,16500,11000,44000,Y
257,43,100/300,2000,1322.1,0,MALE,High School,own-child,Parked Car,No Collision,Minor Damage,Police,4,1,3,9020,1640,820,6560,N
